numero,mes,categoria_csv,titulo,estrategia_ctr,mv_categoria_primaria,mv_categoria_secundaria,mv_categoria_terciaria,observacao_mapeamento,triagem_status,triagem_observacao
80,Maio,Consumidor,O que os reviews no YouTube não contam sobre o carro que você quer comprar,Crítica à fonte mais usada de pesquisa automotiva. Instaura desconfiança produtiva.,Concessionarias e Revendas,Dicas e Curiosidades,Seguro e Protecao Veicular,"Nao publicar como categoria generica. Quebrar por intencao real: compra, confianca, risco, financiamento, decisao de troca ou aprendizado.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
81,Maio,Consumidor,"Test drive virtual, configurador 3D e entrega em casa: a nova jornada de compra do carro no Brasil",Três inovações concretas encadeadas. Útil e atual para qualquer comprador.,Concessionarias e Revendas,Dicas e Curiosidades,Seguro e Protecao Veicular,"Nao publicar como categoria generica. Quebrar por intencao real: compra, confianca, risco, financiamento, decisao de troca ou aprendizado.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
82,Maio,Consumidor,Por que tantas pessoas arrependem da compra do carro novo — e o que a indústria faz (ou não) para mudar isso,Arrependimento de compra é experiência universal. Alto volume de busca e identificação.,Concessionarias e Revendas,Dicas e Curiosidades,Seguro e Protecao Veicular,"Nao publicar como categoria generica. Quebrar por intencao real: compra, confianca, risco, financiamento, decisao de troca ou aprendizado.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
83,Maio,Regulação & ESG,"Normas de emissões Euro 7 e seus reflexos no mercado brasileiro: o que muda para montadoras, importadores e consumidores",Regulação específica com impacto em cadeia. Três públicos em um título.,"IPVA, Impostos e Documentacao",Novidades Automotivas,Gestao e Operacao Automotiva,"Usar IPVA/Documentacao quando houver regra, imposto, exigencia ou impacto burocratico; usar Novidades quando for mudanca setorial; usar Gestao e Operacao para compliance e pressao operacional sobre negocios.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
84,Maio,Regulação & ESG,Crédito de carbono no setor automotivo: mecanismo de compensação real ou greenwashing com logotipo verde?,Ceticismo legítimo embutido. Atrai quem quer ir além do discurso oficial.,"IPVA, Impostos e Documentacao",Novidades Automotivas,Gestao e Operacao Automotiva,"Usar IPVA/Documentacao quando houver regra, imposto, exigencia ou impacto burocratico; usar Novidades quando for mudanca setorial; usar Gestao e Operacao para compliance e pressao operacional sobre negocios.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
85,Junho,Eletrificação,Autonomia real vs. autonomia anunciada: por que os números do carro elétrico não batem com o que você vive no dia a dia,Frustração universal do comprador de elétrico. Tensão entre promessa e realidade.,Novidades Automotivas,Dicas e Curiosidades,Concessionarias e Revendas,"Usar Novidades Automotivas quando a pauta for mercado, lancamento, infraestrutura ou mudanca setorial; usar Dicas e Curiosidades quando o foco for explicacao ao leitor comum; usar Concessionarias e Revendas quando a pauta afetar compra, revenda ou adocao comercial.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
86,Junho,Eletrificação,"O elétrico que funciona no frio, no calor e na estrada de chão: como o Brasil vai exigir que os EVs sejam diferentes",Contexto climático e viário brasileiro exclusivo. IA não consegue resumir sem perder o recorte.,Novidades Automotivas,Dicas e Curiosidades,Concessionarias e Revendas,"Usar Novidades Automotivas quando a pauta for mercado, lancamento, infraestrutura ou mudanca setorial; usar Dicas e Curiosidades quando o foco for explicacao ao leitor comum; usar Concessionarias e Revendas quando a pauta afetar compra, revenda ou adocao comercial.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
87,Junho,Eletrificação,Consórcio de carro elétrico: vale a pena ou é uma armadilha financeira em 2026?,Pergunta de intenção de compra altíssima. Dois lados de resposta — força leitura completa.,Novidades Automotivas,Dicas e Curiosidades,Concessionarias e Revendas,"Usar Novidades Automotivas quando a pauta for mercado, lancamento, infraestrutura ou mudanca setorial; usar Dicas e Curiosidades quando o foco for explicacao ao leitor comum; usar Concessionarias e Revendas quando a pauta afetar compra, revenda ou adocao comercial.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
88,Junho,Eletrificação,Por que as montadoras chinesas de elétricos estão vencendo uma batalha que as europeias ainda não perceberam que perderam,Provocação geopolítica com argumento de negócio. Difícil resumir sem tomar posição.,Novidades Automotivas,Dicas e Curiosidades,Concessionarias e Revendas,"Usar Novidades Automotivas quando a pauta for mercado, lancamento, infraestrutura ou mudanca setorial; usar Dicas e Curiosidades quando o foco for explicacao ao leitor comum; usar Concessionarias e Revendas quando a pauta afetar compra, revenda ou adocao comercial.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
89,Junho,Eletrificação,Recarga bidirecional: quando o seu carro elétrico começa a pagar a conta de luz da sua casa,Benefício financeiro concreto e surpreendente. Alto CTR em público de consumo e energia.,Novidades Automotivas,Dicas e Curiosidades,Concessionarias e Revendas,"Usar Novidades Automotivas quando a pauta for mercado, lancamento, infraestrutura ou mudanca setorial; usar Dicas e Curiosidades quando o foco for explicacao ao leitor comum; usar Concessionarias e Revendas quando a pauta afetar compra, revenda ou adocao comercial.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
90,Junho,Eletrificação,O plug-in híbrido que o Brasil ignorou por anos está voltando — e agora com argumento sólido de mercado,Reversão de narrativa. Leitores que descartaram o PHEV querem entender o que mudou.,Novidades Automotivas,Dicas e Curiosidades,Concessionarias e Revendas,"Usar Novidades Automotivas quando a pauta for mercado, lancamento, infraestrutura ou mudanca setorial; usar Dicas e Curiosidades quando o foco for explicacao ao leitor comum; usar Concessionarias e Revendas quando a pauta afetar compra, revenda ou adocao comercial.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
97,Junho,Aftermarket,O laudo veicular na era do carro conectado: como os dados de bordo estão mudando a perícia automotiva,"Nicho específico com transformação real. Peritos, seguradoras e oficinas leem com atenção.",Autopecas e Acessorios,Oficinas e Centros Automotivos,Gestao e Operacao Automotiva,"Melhor encaixe estrutural no MV. Direcionar para Autopecas e Acessorios quando a pauta orbitar componentes e distribuicao; para Oficinas e Centros Automotivos quando envolver servico, diagnostico ou adaptacao tecnica; para Gestao e Operacao quando o foco for estrategia do setor.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
98,Junho,Aftermarket,Recondicionamento de baterias: o negócio que ainda não tem nome no Brasil mas já tem fila de demanda,Oportunidade sem nomenclatura consolidada. Empreendedores e distribuidores clicam para entender.,Autopecas e Acessorios,Oficinas e Centros Automotivos,Gestao e Operacao Automotiva,"Melhor encaixe estrutural no MV. Direcionar para Autopecas e Acessorios quando a pauta orbitar componentes e distribuicao; para Oficinas e Centros Automotivos quando envolver servico, diagnostico ou adaptacao tecnica; para Gestao e Operacao quando o foco for estrategia do setor.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
99,Junho,Aftermarket,A oficina que não aceita carro conectado vai perder cliente para quem aceita — e a transição está acontecendo agora,Urgência + consequência direta. Alerta prático para donos de oficina.,Autopecas e Acessorios,Oficinas e Centros Automotivos,Gestao e Operacao Automotiva,"Melhor encaixe estrutural no MV. Direcionar para Autopecas e Acessorios quando a pauta orbitar componentes e distribuicao; para Oficinas e Centros Automotivos quando envolver servico, diagnostico ou adaptacao tecnica; para Gestao e Operacao quando o foco for estrategia do setor.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
101,Junho,Aftermarket,O seguro do carro elétrico ainda não foi inventado — e as seguradoras estão correndo atrás de um produto que não existe direito,"Lacuna de mercado exposta. Seguradoras, corretores e compradores de EVs precisam desse conteúdo.",Autopecas e Acessorios,Oficinas e Centros Automotivos,Gestao e Operacao Automotiva,"Melhor encaixe estrutural no MV. Direcionar para Autopecas e Acessorios quando a pauta orbitar componentes e distribuicao; para Oficinas e Centros Automotivos quando envolver servico, diagnostico ou adaptacao tecnica; para Gestao e Operacao quando o foco for estrategia do setor.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
102,Junho,Aftermarket,"Peça genuína, original ou remanufaturada: o glossário que toda oficina deveria ter na parede — e o cliente deveria entender antes de aprovar o orçamento",Educação do consumidor + utilidade prática. Compartilhável e resistente a resumo genérico.,Autopecas e Acessorios,Oficinas e Centros Automotivos,Gestao e Operacao Automotiva,"Melhor encaixe estrutural no MV. Direcionar para Autopecas e Acessorios quando a pauta orbitar componentes e distribuicao; para Oficinas e Centros Automotivos quando envolver servico, diagnostico ou adaptacao tecnica; para Gestao e Operacao quando o foco for estrategia do setor.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
103,Junho,Mobilidade,O ônibus elétrico que chegou antes do carro elétrico nas cidades brasileiras — e o que isso diz sobre as prioridades de mobilidade,Inversão de expectativa com implicação política. Ângulo original e difícil de resumir.,Dicas e Curiosidades,Novidades Automotivas,Seguro e Protecao Veicular,"Usar com criterio. Vai melhor quando houver ponte clara com decisao automotiva, comportamento do consumidor ou impacto regulatorio/mercado no Brasil.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
105,Junho,Mobilidade,"Patinete, bike e carro compartilhado: o que os dados de uso real dizem sobre qual modal o brasileiro realmente adotou",Dados de uso real contra o discurso de tendência. Ceticismo produtivo que gera clique.,Dicas e Curiosidades,Novidades Automotivas,Seguro e Protecao Veicular,"Usar com criterio. Vai melhor quando houver ponte clara com decisao automotiva, comportamento do consumidor ou impacto regulatorio/mercado no Brasil.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
106,Junho,Mobilidade,A regulação do carro autônomo no Brasil: quem está escrevendo as regras e quem está de fora dessa conversa,"Poder e exclusão. Atrai advogados, gestores públicos e executivos do setor.",Dicas e Curiosidades,Novidades Automotivas,Seguro e Protecao Veicular,"Usar com criterio. Vai melhor quando houver ponte clara com decisao automotiva, comportamento do consumidor ou impacto regulatorio/mercado no Brasil.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
107,Junho,Mobilidade,"Aeromóvel, VLT e monotrilho: por que o Brasil continua construindo mobilidade cara e deixando o elétrico de lado",Crítica à política pública de transporte. Alto engajamento em público urbano e acadêmico.,Dicas e Curiosidades,Novidades Automotivas,Seguro e Protecao Veicular,"Usar com criterio. Vai melhor quando houver ponte clara com decisao automotiva, comportamento do consumidor ou impacto regulatorio/mercado no Brasil.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
108,Junho,Mobilidade,Frota de táxis elétricos: o modelo que funcionou em Shenzhen e o que o Brasil precisa adaptar para fazer o mesmo,Caso internacional + desafio local. Benchmarking editorial que exige leitura completa.,Dicas e Curiosidades,Novidades Automotivas,Seguro e Protecao Veicular,"Usar com criterio. Vai melhor quando houver ponte clara com decisao automotiva, comportamento do consumidor ou impacto regulatorio/mercado no Brasil.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
109,Junho,Negócios,"O fim do modelo de receita das montadoras como conhecemos: hardware, software e serviços — quem vai lucrar com o quê daqui pra frente",Ruptura de modelo de negócio com três variáveis. Impossível resumir sem distorcer.,Marketing e Vendas para Negocios,Gestao de Clientes e CRM,Gestao e Operacao Automotiva,"Categoria-fonte boa para frente B2B. Traduzir para Marketing e Vendas, CRM ou Gestao e Operacao conforme a dor principal do operador automotivo.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
110,Junho,Negócios,"Quanto vale uma montadora que não vende mais carro — e sim mobilidade, dados e experiência?","Pergunta de valuation com reframe radical. Atrai investidores, analistas e executivos.",Marketing e Vendas para Negocios,Gestao de Clientes e CRM,Gestao e Operacao Automotiva,"Categoria-fonte boa para frente B2B. Traduzir para Marketing e Vendas, CRM ou Gestao e Operacao conforme a dor principal do operador automotivo.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
111,Junho,Negócios,O distribuidor de veículos pesados diante da eletrificação: oportunidade silenciosa que poucos estão vendo,Silenciosa + poucos estão vendo criam senso de acesso exclusivo. Nicho de alto valor.,Marketing e Vendas para Negocios,Gestao de Clientes e CRM,Gestao e Operacao Automotiva,"Categoria-fonte boa para frente B2B. Traduzir para Marketing e Vendas, CRM ou Gestao e Operacao conforme a dor principal do operador automotivo.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
112,Junho,Negócios,Marca própria de bateria: por que as montadoras que apostaram nisso estão em vantagem — e as que terceirizaram estão preocupadas,Decisão estratégica com vencedores e perdedores identificáveis. Narrativa de negócio completa.,Marketing e Vendas para Negocios,Gestao de Clientes e CRM,Gestao e Operacao Automotiva,"Categoria-fonte boa para frente B2B. Traduzir para Marketing e Vendas, CRM ou Gestao e Operacao conforme a dor principal do operador automotivo.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
113,Junho,Negócios,A guerra dos chips automotivos ainda não acabou — e a próxima escassez já está sendo gestada agora,Continuidade de crise conhecida com ameaça futura. Urgência editorial legítima.,Marketing e Vendas para Negocios,Gestao de Clientes e CRM,Gestao e Operacao Automotiva,"Categoria-fonte boa para frente B2B. Traduzir para Marketing e Vendas, CRM ou Gestao e Operacao conforme a dor principal do operador automotivo.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
114,Junho,Negócios,Dealer digital: a concessionária que existe só no app — utopia de startup ou modelo de negócio com futuro real?,Tensão entre inovação e viabilidade. Dois públicos em conflito lendo o mesmo artigo.,Marketing e Vendas para Negocios,Gestao de Clientes e CRM,Gestao e Operacao Automotiva,"Categoria-fonte boa para frente B2B. Traduzir para Marketing e Vendas, CRM ou Gestao e Operacao conforme a dor principal do operador automotivo.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
118,Junho,IA & Dados,LLM no atendimento da concessionária: o chatbot que finalmente entende o que o cliente quer — e os limites que ele ainda não superou,Equilíbrio entre capacidade e limitação. Evita hype e ceticismo — postura editorial madura.,Gestao e Operacao Automotiva,Marketing e Vendas para Negocios,Novidades Automotivas,"Nao tratar como categoria publica propria por enquanto. Encaixar conforme o uso pratico: operacao, vendas ou novidade de mercado.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
120,Junho,Consumidor,"O que ninguém te conta na hora de comprar um carro elétrico usado: bateria, histórico e as perguntas que você precisa fazer",Guia prático com senso de alerta. Altíssimo CTR em público de intenção de compra.,Concessionarias e Revendas,Dicas e Curiosidades,Seguro e Protecao Veicular,"Nao publicar como categoria generica. Quebrar por intencao real: compra, confianca, risco, financiamento, decisao de troca ou aprendizado.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
121,Junho,Consumidor,Carro novo a cada 2 anos: o ciclo de troca que virou padrão — e o que ele diz sobre como o brasileiro vê o veículo hoje,Comportamento de consumo com implicação cultural. Identificação imediata.,Concessionarias e Revendas,Dicas e Curiosidades,Seguro e Protecao Veicular,"Nao publicar como categoria generica. Quebrar por intencao real: compra, confianca, risco, financiamento, decisao de troca ou aprendizado.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
122,Junho,Consumidor,Personalização do veículo em 2026: do acessório físico ao perfil digital — como o carro está virando extensão da identidade do dono,Identidade + tecnologia. Ressoa com consumidores jovens e premium ao mesmo tempo.,Concessionarias e Revendas,Dicas e Curiosidades,Seguro e Protecao Veicular,"Nao publicar como categoria generica. Quebrar por intencao real: compra, confianca, risco, financiamento, decisao de troca ou aprendizado.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
123,Junho,Regulação & ESG,Inventário de carbono na cadeia automotiva: o relatório que vai se tornar obrigatório — e que a maioria das empresas ainda não sabe fazer,"Obrigação futura + lacuna atual. Urgência para compliance, ESG e financeiro.","IPVA, Impostos e Documentacao",Novidades Automotivas,Gestao e Operacao Automotiva,"Usar IPVA/Documentacao quando houver regra, imposto, exigencia ou impacto burocratico; usar Novidades quando for mudanca setorial; usar Gestao e Operacao para compliance e pressao operacional sobre negocios.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
